#{"t_start": 1747140063.5883043, "env_id": "None"}
r,l,t
1265.019119,10,2628.878418
1080.210449,10,2631.483848
1108.513824,10,2635.0042
297.802414,10,2637.641263
797.365753,10,2642.449481
843.685287,10,2645.417911
484.743141,10,2646.703179
576.218513,10,2651.01159
813.635361,10,2654.907366
821.616241,10,2659.708127
872.379448,10,2664.341667
1005.540909,10,2667.833778
1102.734955,10,2671.310785
1268.94693,10,2673.889667
818.951759,10,2677.031267
438.474464,10,2681.145585
737.042465,10,2685.321872
726.213242,10,2688.39725
754.59523,10,2690.985106
695.169693,10,2694.79902
523.620293,10,2697.750648
1178.703934,10,2700.156965
800.275696,10,2704.725967
606.029732,10,2708.106636
